ா	a
சிங்கப்பூர்	t͡ʃiŋkappuːɾ
சுற்றியுள்ள	t͡ʃurrijuɭɭa
உதாரத்துவம்	u d̪ aː ɾ ɐ t̪ː u ʋ ɐ m
உதகதாரைசெய்	u d̪ ɐ ɡ ɐ d̪ aː ɾ a ɪ̯ t͡ɕ e j
உயிரெழுத்து	u j i ɾ e ɻ u t̪ː u
உயிர்த்தெழு	u j i ɾ t̪ː e ɻ u
உம்மைக்குறி	u mː a ɪ̯ kː u r i
உன்னதபாட்டு	u nː ɐ d̪ ɐ p aː ʈː u
உறுதிப்பாடு	u r u d̪ i pː aː ɖ u
உரிமைக்கடன்	u ɾ i m a ɪ̯ kː ɐ ɖ ɐ n
உயிரிழந்தத்	ujiɾiɻan̪t̪at̪
உலகத்துக்கு	ulakat̪t̪ukku
உறுப்பினராக	uruppinaɾaːka
உறுப்பினரான	uruppinaɾaːna
உதவிகளையும்	ut̪aʋikaɭajjum
உத்தரவிட்ட்	ut̪t̪aɾaʋiʈʈ
ஊதைக்காற்று	uː d̪ a ɪ̯ kː aː rː u
ஊற்றுத்துலை	uː rː u t̪ː u l a ɪ̯
ஊட்டச்சத்து	uː ʈː ɐ t͡ɕː ɐ t̪ː u
உரையாற்றும்	uɾajjaːrrum
உருவாவதற்கு	uɾuʋaːʋat̪arku
உள்ளாட்சித்	uɭɭaːʈt͡ʃit̪
உள்ளிட்டோர்	uɭɭiʈʈoːɾ
வாயின்மாடம்	ʋ aː j i n m aː ɖ ɐ m
வாய்ச்சொலவு	ʋ aː j t͡ɕː o l ɐ ʋ u
வாக்குவாதம்	ʋ aː kː u ʋ aː d̪ ɐ m
வாக்களிப்பு	ʋ aː kː ɐ ɭ i pː u
வால்மீன்கள்	ʋ aː l m iː n ɡ ɐ ɭ
ராமநாதபுரம்	ɾ aː m ɐ n̪ aː d̪ ɐ b u ɾ ɐ m
வாத்துக்கள்	ʋ aː t̪ː u kː ɐ ɭ
அபிவிருத்தி	ɐ b i ʋ i ɾ u t̪ː i
அதிக்கிரமம்	ɐ d̪ i kː i ɾ ɐ m ɐ m
அஜினோமோட்டோ	ɐ d͡ʑ i n oː m oː ʈː oː
வெடிமருந்து	ʋ e ɖ i m ɐ ɾ u n̪ d̪ u
வெண்ணெய்தல்	ʋ e ɳː e j d̪ ɐ l
வெள்ளக்கால்	ʋ e ɭː ɐ kː aː l
வெள்ளக்காடு	ʋ e ɭː ɐ kː aː ɖ u
வேலைக்காரன்	ʋ eː l a ɪ̯ kː aː ɾ ɐ n
விபுத்துவம்	ʋ i b u t̪ː u ʋ ɐ m
வித்தியாசம்	ʋ i d̪ d̪ i j aː t͡ɕ ɐ m
விசித்திரம்	ʋ i t͡ɕ i t̪ː i ɾ ɐ m
விழுப்புரம்	ʋ i ɻ u pː u ɾ ɐ m
விருச்சிகம்	ʋ i ɾ u t͡ɕː i ɡ ɐ m
அனுராதபுரம்	ɐ n u ɾ aː d̪ ɐ b u ɾ ɐ m
ஒலிபெருக்கி	ʔ o l̪ i p e ɾ̪ u k kː i
அத்தியாபகன்	ɐ t̪ː i j aː b ɐ ɡ ɐ n
ருப்புலக்கை	ɾ u pː u l ɐ kː a ɪ̯
வலைப்பக்கம்	ʋ ɐ l a ɪ̯ pː ɐ kː ɐ m
வல்லெழுத்து	ʋ ɐ l l e ɻ u t̪ː u
ரத்தமசூரிகை	ɾ ɐ t̪ː ɐ m ɐ t͡ɕ uː ɾ i ɡ a ɪ̯
அருள்வாக்கு	ɐ ɾ u ɭ ʋ aː kː u
வரிக்குதிரை	ʋ ɐ ɾ i kː u d̪ i ɾ a ɪ̯
வருத்தங்கள்	ʋ ɐ ɾ u t̪ː ɐ ŋ ɡ ɐ ɭ
வங்காளதேசம்	ʋ ɐ ŋ ɡ aː ɭ ɐ d̪ eː t͡ɕ ɐ m
வங்கிக்கடன்	ʋ ɐ ŋ ɡ i kː ɐ ɖ ɐ n
அண்டசராசரம்	ɐ ɳ ɖ ɐ t͡ɕ ɐ ɾ aː t͡ɕ ɐ ɾ ɐ m
வண்ணாத்தான்	ʋ ɐ ɳː aː t̪ː aː n
வட்டெழுத்து	ʋ ɐ ʈː e ɻ u t̪ː u
வலியுறுத்தி	ʋalijurut̪t̪i
வன்முறைக்கு	ʋanmurajkku
வழங்கப்படவ்	ʋaɻaŋkappaʈaʋ
ராஜபட்சவின்	ɾaːd͡ʒapaʈt͡ʃaʋin
ராஜபட்சவும்	ɾaːd͡ʒapaʈt͡ʃaʋum
வழியெங்கும்	ʋaɻijeŋkum
வாய்ப்புகள்	ʋaːjppukaɭ
வாக்குகளைப்	ʋaːkkukaɭajp
வாக்குகளில்	ʋaːkkukaɭil
வாக்குகளும்	ʋaːkkukaɭum
வருகின்றனர்	ʋaɾukinranaɾ
வவுனியாவில்	ʋaʋunijaːʋil
வருவதாகவும்	ʋaɾuʋat̪aːkaʋum
வர்ணனையாளர்	ʋaɾɳanajjaːɭaɾ
வட்டாரங்கள்	ʋaʈʈaːɾaŋkaɭ
வாரியத்தின்	ʋaːɾijat̪t̪in
வாஷிங்டனில்	ʋaːʂiŋʈanil
வார்த்தைகள்	ʋaːɾt̪t̪ajkaɭ
ராணுவத்தின்	ɾaːɳuʋat̪t̪in
வாழ்வாதாரம்	ʋaːɻʋaːt̪aːɾam
வெளியுறவுத்	ʋeɭijuraʋut̪
வெடித்ததில்	ʋeʈit̪t̪at̪il
வேதனையையும்	ʋeːt̪anajjajjum
விமானத்தில்	ʋimaːnat̪t̪il
விமர்சித்த்	ʋimaɾt͡ʃit̪t̪
விதத்திலும்	ʋit̪at̪t̪ilum
விசாரணையில்	ʋit͡ʃaːɾaɳajjil
விசாரணைக்கு	ʋit͡ʃaːɾaɳajkku
விசாரிக்கவ்	ʋit͡ʃaːɾikkaʋ
விசாரிப்பத்	ʋit͡ʃaːɾippat̪
விவாதிக்கப்	ʋiʋaːt̪ikkap
விரிவாக்கம்	ʋiɾiʋaːkkam
விருந்தினர்	ʋiɾun̪t̪inaɾ
விடுவிக்கப்	ʋiʈuʋikkap
விடுவித்தத்	ʋiʈuʋit̪t̪at̪
அக்கட்சியின்	akkaʈt͡ʃijin
அலுவலகத்தின்	aluʋalakat̪t̪in
அமைந்துள்ளது	amajn̪t̪uɭɭat̪u
அப்பகுதியில்	appakut̪ijil
அறிவிக்கிறது	ariʋikkirat̪u
அதிகாரிகளின்	at̪ikaːɾikaɭin
அதிகாரிகளும்	at̪ikaːɾikaɭum
அச்சுறுத்தல்	at͡ʃt͡ʃurut̪t̪al
ஆண்டுகள்ளடவு	aː ɳ ɖ u ɡ ɐ ɭː ɐ ɖ ɐ ʋ u
ஆர்ட்டின்கள்	aː ɾ ʈː i n ɡ ɐ ɭ
ஆயிரக்கணக்க்	aːjiɾakkaɳakk
ஆயிரத்திற்க்	aːjiɾat̪t̪irk
ஆந்திரத்தில்	aːn̪t̪iɾat̪t̪il
ஆங்கிலத்தில்	aːŋkilat̪t̪il
ஆர்ப்பாட்டம்	aːɾppaːʈʈam
ஆண்டுகளுக்கு	aːɳʈukaɭukku
பரதநாட்டியம்	b ɐ ɾ ɐ d̪ ɐ n̪ aː ʈː i j ɐ m
ஜீவவிருட்சம்	d͡ʑ iː ʋ ɐ ʋ i ɾ u ʈ t͡ɕ ɐ m
ஜனநாயகத்தின்	d͡ʒanan̪aːjakat̪t̪in
எக்கச்சக்கம்	e kː ɐ t͡ɕː ɐ kː ɐ m
எழுத்துக்கள்	e ɻ u t̪ː u kː ɐ ɭ
எழுத்துவாசனை	e ɻ u t̪ː u ʋ aː t͡ɕ ɐ n a ɪ̯
எட்டப்பார்வை	e ʈː ɐ pː aː ɾ ʋ a ɪ̯
எமெலேக்களின்	emeleːkkaɭin
எம்பிக்களில்	empikkaɭil
எம்பிக்களின்	empikkaɭin
எதிர்கட்சித்	et̪iɾkaʈt͡ʃit̪
ஏற்படுத்திய்	eːrpaʈut̪t̪ij
ஏற்படுத்தும்	eːrpaʈut̪t̪um
ஏற்பாடுகளும்	eːrpaːʈukaɭum
இறைவாக்கினர்	i r a ɪ̯ ʋ aː kː i n ɐ ɾ
இத்திஹாத்தான	i t̪ː i h aː t̪ː aː n ɐ
இசுபேடுக்கள்	i t͡ɕ u b eː ɖ u kː ɐ ɭ
இச்சையடக்கம்	i t͡ɕː a ɪ̯ j ɐ ɖ ɐ kː ɐ m
இளைப்பாறுதல்	i ɭ a ɪ̯ pː aː r u d̪ ɐ l
இராமநாதபுரம்	i ɾ aː m ɐ n̪ aː d̪ ɐ b u ɾ ɐ m
இராசபத்திரம்	i ɾ aː t͡ɕ ɐ b ɐ t̪ː i ɾ ɐ m
இரேவற்சின்னி	i ɾ eː ʋ ɐ r t͡ɕ i nː i
இடக்கரடக்கல்	i ɖ ɐ kː ɐ ɾ ɐ ɖ ɐ kː ɐ l
இழவுகொண்டாடு	i ɻ ɐ ʋ u ɡ o ɳ ɖ aː ɖ u
இட்டிடைஞ்சல்	i ʈː i ɖ a ɪ̯ ɲ d͡ʑ ɐ l
இந்தியாவுடன்	in̪t̪ijaːʋuʈan
இருக்கினறனர்	iɾukkinaranaɾ
ஈடுபட்டதாகத்	iːʈupaʈʈat̪aːkat̪
கன்னியாகுமரி	k a nː i j aː k u m a ɾ i
கைக்கடிகாரம்	k a ɪ̯ kː ɐ ɖ i ɡ aː ɾ ɐ m
காக்காய்பிடி	k aː kː aː j b i ɖ i
காறையெலும்பு	k aː r a ɪ̯ j e l u m b u
காற்றழுத்தம்	k aː rː ɐ ɻ u t̪ː ɐ m
காட்டாமணக்கு	k aː ʈː aː m ɐ ɳ ɐ kː u
காட்டுக்கோழி	k aː ʈː u kː oː ɻ i
காட்டுப்பூனை	k aː ʈː u pː uː n a ɪ̯
காட்டுவெண்டை	k aː ʈː u ʋ e ɳ ɖ a ɪ̯
கேள்விக்குறி	k eː ɭ ʋ i kː u r i
கின்னிக்கோழி	k i nː i kː oː ɻ i
கிளம்பினவேலை	k i ɭ ɐ m b i n ɐ ʋ eː l a ɪ̯
கொடிக்கையான்	k o ɖ i kː a ɪ̯ j aː n
கொடிமுந்திரி	k o ɖ i m u n̪ d̪ i ɾ i
கொழுத்தமுரல்	k o ɻ u t̪ː ɐ m u ɾ ɐ l
கொண்டுகூற்று	k o ɳ ɖ u ɡ uː rː u
கோட்டைப்போர்	k oː ʈː a ɪ̯ pː oː ɾ
குறைக்கடத்தி	k u r a ɪ̯ kː ɐ ɖ ɐ t̪ː i
குற்றெழுத்து	k u rː e ɻ u t̪ː u
குச்சிப்புடி	k u t͡ɕː i pː u ɖ i
குடியிருப்பு	k u ɖ i j i ɾ u pː u
குழிக்கரண்டி	k u ɻ i kː ɐ ɾ ɐ ɳ ɖ i
கூட்டெழுத்து	k uː ʈː e ɻ u t̪ː u
கதிர்க்கட்டு	k ɐ d̪ i ɾ kː ɐ ʈː u
கல்வெட்டியல்	k ɐ l ʋ e ʈː i j ɐ l
கல்விக்கூடம்	k ɐ l ʋ i kː uː ɖ ɐ m
கல்விநிலையம்	k ɐ l ʋ i n̪ i l a ɪ̯ j ɐ m
கன்னியாகுமரி	k ɐ nː i j aː k u m ɐ ɾ i
கத்தரிக்காய்	k ɐ t̪ː ɐ ɾ i kː aː j
கடைவாய்ப்பல்	k ɐ ɖ a ɪ̯ ʋ aː j pː ɐ l
கரிவாளன்கோலா	k ɐ ɾ i ʋ aː ɭ ɐ n ɡ oː l aː
கருஞ்சிவப்பு	k ɐ ɾ u ɲ d͡ʑ i ʋ ɐ pː u
கண்காணித்தல்	k ɐ ɳ ɡ aː ɳ i t̪ː ɐ l
கடவுச்சீட்டு	k ɐ ɖ ɐ ʋ u t͡ɕː iː ʈː u
கட்டியடுப்பு	k ɐ ʈː i j ɐ ɖ u pː u
கட்டுமரங்கள்	k ɐ ʈː u m ɐ ɾ ɐ ŋ ɡ ɐ ɭ
கவலைக்கிடமாக	kaʋalajkkiʈamaːka
காயமடைந்தனர்	kaːjamaʈajn̪t̪anaɾ
காமென்வெல்த்	kaːmenʋelt̪
கட்டப்படுவது	kaʈʈappaʈuʋat̪u
கட்டடங்களில்	kaʈʈaʈaŋkaɭil
கட்டடங்களின்	kaʈʈaʈaŋkaɭin
கௌரவிக்கப்பட	kaʋɾaʋikkappaʈa
காளியப்பனின்	kaːɭijappanin
கண்டிக்கிறது	kaɳʈikkirat̪u
கண்டிப்பாகச்	kaɳʈippaːkat͡ʃ
காண்பித்தனர்	kaːɳpit̪t̪anaɾ
கட்டுமானமும்	kaʈʈumaːnamum
கட்டுவதற்கான	kaʈʈuʋat̪arkaːna
கேப்டனாகவும்	keːpʈanaːkaʋum
கொடுத்திடும்	koʈut̪t̪iʈum
கொண்டுள்ளேன்	koɳʈuɭɭeːn
கூறியுள்ளதாக	kuːrijuɭɭat̪aːka
கூறியுள்ளார்	kuːrijuɭɭaːɾ
லட்சத்துக்க்	laʈt͡ʃat̪t̪ukk
மாட்டிறைச்சி	m aː ʈː i r a ɪ̯ t͡ɕː i
மாட்டுக்கிடை	m aː ʈː u kː i ɖ a ɪ̯
மெய்யெழுத்து	m e jː e ɻ u t̪ː u
மெல்லெழுத்து	m e l l e ɻ u t̪ː u
மின்சாரவண்டி	m i n t͡ɕ aː ɾ ɐ ʋ ɐ ɳ ɖ i
மினுமினுப்பு	m i n u m i n u pː u
மிருகசீருடம்	m i ɾ u ɡ ɐ t͡ɕ iː ɾ u ɖ ɐ m
மொய்யற்சன்னி	m o jː ɐ r t͡ɕ ɐ nː i
முன்பிலாண்டு	m u n b i l aː ɳ ɖ u
முட்டுக்கால்	m u ʈː u kː aː l
முள்ளம்பன்றி	m u ɭː ɐ m b ɐ n r i
மதிக்கத்தக்க	m ɐ d̪ i kː ɐ t̪ː ɐ kː ɐ
மந்திரகூர்மை	m ɐ n̪ d̪ i ɾ ɐ ɡ uː ɾ m a ɪ̯
மகாராட்டிரம்	m ɐ ɡ aː ɾ aː ʈː i ɾ ɐ m
மணித்தக்காளி	m ɐ ɳ i t̪ː ɐ kː aː ɭ i
மருந்துக்கடை	m ɐ ɾ u n̪ d̪ u kː ɐ ɖ a ɪ̯
மண்ணீட்டாளர்	m ɐ ɳː iː ʈː aː ɭ ɐ ɾ
மட்டுக்கோணம்	m ɐ ʈː u kː oː ɳ ɐ m
மட்டுத்தப்பு	m ɐ ʈː u t̪ː ɐ pː u
மட்டக்களப்பு	m ɐ ʈː ɐ kː ɐ ɭ ɐ pː u
மக்களுக்கும்	makkaɭukkum
மக்களுக்குப்	makkaɭukkup
மறுத்துள்ளது	marut̪t̪uɭɭat̪u
மாற்றுவதற்கு	maːrruʋat̪arku
மாதங்களுக்கு	maːt̪aŋkaɭukku
மாசுபடுத்திய	maːt͡ʃupaʈut̪t̪ija
மாவட்டத்தில்	maːʋaʈʈat̪t̪il
மட்டுமல்லாது	maʈʈumallaːt̪u
மேற்கொண்டதாக	meːrkoɳʈat̪aːka
மேற்கொள்ளும்	meːrkoɭɭum
மீறுவோருக்கு	miːruʋoːɾukku
முன்கூட்டியே	munkuːʈʈijeː
முதன்முதலில்	mut̪anmut̪alil
மூதாதையர்கள்	muːt̪aːt̪ajjaɾkaɭ
நாய்க்குட்டி	n̪ aː j kː u ʈː i
நாடாளுமன்றம்	n̪ aː ɖ aː ɭ u m ɐ n r ɐ m
நாளுக்குநாள்	n̪ aː ɭ u kː u n̪ aː ɭ
நெட்டெழுத்து	n̪ e ʈː e ɻ u t̪ː u
நேற்றையதினம்	n̪ eː rː a ɪ̯ j ɐ d̪ i n ɐ m
நிதியமைச்சர்	n̪ i d̪ i j ɐ m a ɪ̯ t͡ɕː ɐ ɾ
நிலநடுக்கோடு	n̪ i l ɐ n̪ ɐ ɖ u kː oː ɖ u
நிறமாலையியல்	n̪ i r ɐ m aː l a ɪ̯ j i j ɐ l
நிகர்ப்புதம்	n̪ i ɡ ɐ ɾ pː u d̪ ɐ m
நீர்க்காக்கை	n̪ iː ɾ kː aː kː a ɪ̯
நீர்ப்புன்கு	n̪ iː ɾ pː u n ɡ u
நீர்வீழ்ச்சி	n̪ iː ɾ ʋ iː ɻ t͡ɕː i
நீர்கொழும்பு	n̪ iː ɾ ɡ o ɻ u m b u
நல்லொழுக்கம்	n̪ ɐ l l o ɻ u kː ɐ m
நச்சுத்தன்மை	n̪at͡ʃt͡ʃut̪t̪anmaj
நடைபெறுகிறது	n̪aʈajperukirat̪u
நடத்தியதாகக்	n̪aʈat̪t̪ijat̪aːkak
நடத்தியதாகத்	n̪aʈat̪t̪ijat̪aːkat̪
நடத்துவதற்க்	n̪aʈat̪t̪uʋat̪ark
நடவடிக்கையாக	n̪aʈaʋaʈikkajjaːka
நடவடிக்கைகள்	n̪aʈaʋaʈikkajkaɭ
நாளிதழ்களில்	n̪aːɭit̪aɻkaɭil
நியூஸிலாந்து	n̪ijuːsilaːn̪t̪u
நிலங்களுக்கு	n̪ilaŋkaɭukku
நிமிடங்களில்	n̪imiʈaŋkaɭil
நிறுவனத்தின்	n̪iruʋanat̪t̪in
நிருபமாவிடம்	n̪iɾupamaːʋiʈam
நூற்றுக்கும்	n̪uːrrukkum
ஒலிபெயர்ப்பு	o l i p e j a ɾ pː u
ஒலிவாங்கிகள்	o l i ʋ aː ŋ ɡ i ɡ ɐ ɭ
ஒப்படைத்தார்	oppaʈajt̪t̪aːɾ
ஒத்திவைக்கப்	ot̪t̪iʋajkkap
ஒதுக்குகின்ற	ot̪ukkukinra
ஒட்டுமொத்தத்	oʈʈumot̪t̪at̪
பாதலத்தாம்பி	p aː d̪ ɐ l ɐ t̪ː aː m b i
பாராளுமன்றம்	p aː ɾ aː ɭ u m ɐ n r ɐ m
பாண்டிச்சேரி	p aː ɳ ɖ i t͡ɕː eː ɾ i
பெரும்பாலும்	p e ɾ u m b aː l u m
பெரும்பான்மை	p e ɾ u m b aː n m a ɪ̯
பெருந்தொற்று	p e ɾ u n̪ d̪ o rː u
பெருந்துத்தி	p e ɾ u n̪ d̪ u t̪ː i
பெருஞ்சீரகம்	p e ɾ u ɲ d͡ʑ iː ɾ ɐ ɡ ɐ m
பேய்க்கணவாய்	p eː j kː ɐ ɳ ɐ ʋ aː j
பிலிப்பைன்ஸ்	p i l i pː a ɪ̯ n s
பிலிப்பீன்சு	p i l i pː iː n t͡ɕ u
பின்னிரக்கம்	p i nː i ɾ ɐ kː ɐ m
பிறவிக்குணம்	p i r ɐ ʋ i kː u ɳ ɐ m
பிசாசடித்தல்	p i t͡ɕ aː t͡ɕ ɐ ɖ i t̪ː ɐ l
பிசுக்கோத்து	p i t͡ɕ u kː oː t̪ː u
பிசங்கற்சீலை	p i t͡ɕ ɐ ŋ ɡ ɐ r t͡ɕ iː l a ɪ̯
பிச்சைத்தனம்	p i t͡ɕː a ɪ̯ t̪ː ɐ n ɐ m
பிச்சுநெட்டி	p i t͡ɕː u n̪ e ʈː i
பிரசங்கங்கள்	p i ɾ ɐ t͡ɕ ɐ ŋ ɡ ɐ ŋ ɡ ɐ ɭ
பிரச்சினைகள்	p i ɾ ɐ t͡ɕː i n a ɪ̯ ɡ ɐ ɭ
பொம்மலாட்டம்	p o mː ɐ l aː ʈː ɐ m
பொன்னாங்காணி	p o nː aː ŋ ɡ aː ɳ i
பொன்னெழுத்து	p o nː e ɻ u t̪ː u
போதைப்பொருள்	p oː d̪ a ɪ̯ pː o ɾ u ɭ
போதிகைப்பலகை	p oː d̪ i ɡ a ɪ̯ pː ɐ l ɐ ɡ a ɪ̯
போக்குவரத்து	p oː kː u ʋ ɐ ɾ ɐ t̪ː u
புதுக்கோட்டை	p u d̪ u kː oː ʈː a ɪ̯
புரியாத்தியா	p u ɾ i j aː t̪ː i j aː
பயிற்சியாளர்	p ɐ j i r t͡ɕ i j aː ɭ ɐ ɾ
பயிர்ச்செலவு	p ɐ j i ɾ t͡ɕː e l ɐ ʋ u
பல்வைத்தியன்	p ɐ l ʋ a ɪ̯ t̪ː i j ɐ n
பச்சோந்திகள்	p ɐ t͡ɕː oː n̪ d̪ i ɡ ɐ ɭ
பருவக்காற்று	p ɐ ɾ u ʋ ɐ kː aː rː u
பரதநாட்டியம்	p ɐ ɾ ɐ d̪ ɐ n̪ aː ʈː i j ɐ m
பள்ளிக்கூடம்	p ɐ ɭː i kː uː ɖ ɐ m
பள்ளிக்கல்வி	p ɐ ɭː i kː ɐ l ʋ i
பள்ளத்தாக்கு	p ɐ ɭː ɐ t̪ː aː kː u
பகுதிகளிலும்	pakut̪ikaɭilum
பகுதிகளுக்க்	pakut̪ikaɭukk
பதக்கங்களைப்	pat̪akkaŋkaɭajp
பதக்கங்களின்	pat̪akkaŋkaɭin
பத்திரிகையான	pat̪t̪iɾikajjaːna
பணியாற்றுகிற	paɳijaːrrukira
பங்களிப்பைப்	paŋkaɭippajp
பாகிஸ்தானைச்	paːkist̪aːnajt͡ʃ
பாகிஸ்தானில்	paːkist̪aːnil
பாகிஸ்தானின்	paːkist̪aːnin
பாதுகாப்பற்ற	paːt̪ukaːpparra
பாதுகாப்புக்	paːt̪ukaːppuk
பாதுகாப்புப்	paːt̪ukaːppup
பழுதுபார்க்க	paɻut̪upaːɾkka
பள்ளத்தாக்கு	paɭɭat̪t̪aːkku
பெற்றுள்ளனர்	perruɭɭanaɾ
பெற்றுள்ளார்	perruɭɭaːɾ
பெண்களுக்கான	peɳkaɭukkaːna
பிறப்பிக்கப்	pirappikkap
பிரதேசத்தின்	piɾat̪eːt͡ʃat̪t̪in
பிரசாரத்தில்	piɾat͡ʃaːɾat̪t̪il
பிடித்துள்ளன	piʈit̪t̪uɭɭana
பொதுச்செயலர்	pot̪ut͡ʃt͡ʃejalaɾ
போக்குவரத்து	poːkkuʋaɾat̪t̪u
போராட்டங்களை	poːɾaːʈʈaŋkaɭaj
புறப்பட்டுச்	purappaʈʈut͡ʃ
புற்றுநோய்த்	purrun̪oːjt̪
பூர்வீகமாகக்	puːɾʋiːkamaːkak
ஸ்காட்லாந்து	skaːʈlaːn̪t̪u
திந்திரிவனம்	t̪ i n̪ d̪ i ɾ i ʋ ɐ n ɐ m
